직무,경력,지역,연봉,기술,기술_개수
데이터 분석가,경력 8년차 이상,서울 마포구,9808,"[np.str_('Cloud(AWS/GCP)'), np.str_('Excel'), np.str_('Python'), np.str_('Machine Learning')]",4
데이터 분석가,경력 8년차 이상,서울 강남구,11104,"[np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('Machine Learning'), np.str_('Python'), np.str_('Excel')]",5
데이터 분석가,경력 8년차 이상,서울 강남구,11124,"[np.str_('Python'), np.str_('SQL'), np.str_('Tableau'), np.str_('R')]",4
데이터 분석가,경력 3년차 이상,서울 구로구,7727,"[np.str_('R'), np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('Python')]",4
데이터 분석가,신입,서울 구로구,5261,"[np.str_('Excel'), np.str_('Cloud(AWS/GCP)'), np.str_('Python'), np.str_('SQL')]",4
데이터 분석가,경력 8년차 이상,서울 강남구,11061,"[np.str_('Tableau'), np.str_('Python'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL'), np.str_('Machine Learning')]",5
데이터 분석가,경력 3년차 이상,판교/분당,7552,"[np.str_('Python'), np.str_('SQL'), np.str_('Machine Learning'), np.str_('R'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,신입,판교/분당,5799,"[np.str_('Cloud(AWS/GCP)'), np.str_('Python'), np.str_('R'), np.str_('Excel')]",4
데이터 분석가,경력 3년차 이상,서울 마포구,6903,"[np.str_('R'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL')]",3
데이터 분석가,신입,서울 성동구,4444,"[np.str_('SQL'), np.str_('Cloud(AWS/GCP)')]",2
데이터 분석가,경력 8년차 이상,서울 마포구,9525,"[np.str_('R'), np.str_('Python'), np.str_('Cloud(AWS/GCP)')]",3
데이터 분석가,경력 3년차 이상,서울 마포구,7602,"[np.str_('Python'), np.str_('Machine Learning'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL')]",4
데이터 분석가,경력 8년차 이상,서울 성동구,9484,"[np.str_('Machine Learning'), np.str_('Tableau'), np.str_('Python'), np.str_('R'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,경력 3년차 이상,서울 강남구,7445,"[np.str_('SQL'), np.str_('Tableau')]",2
데이터 분석가,경력 3년차 이상,판교/분당,8433,"[np.str_('R'), np.str_('Tableau'), np.str_('Python'), np.str_('Excel'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,경력 3년차 이상,서울 마포구,7932,"[np.str_('Tableau'), np.str_('SQL')]",2
데이터 분석가,경력 3년차 이상,서울 성동구,7574,"[np.str_('Cloud(AWS/GCP)'), np.str_('SQL'), np.str_('Python'), np.str_('Machine Learning')]",4
데이터 분석가,경력 8년차 이상,서울 구로구,9979,"[np.str_('R'), np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('Machine Learning'), np.str_('Tableau')]",5
데이터 분석가,경력 8년차 이상,서울 마포구,10106,"[np.str_('SQL'), np.str_('Python'), np.str_('Excel')]",3
데이터 분석가,경력 8년차 이상,판교/분당,10958,"[np.str_('Excel'), np.str_('Machine Learning'), np.str_('R'), np.str_('Python'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,경력 8년차 이상,서울 강남구,11289,"[np.str_('Machine Learning'), np.str_('SQL'), np.str_('Excel'), np.str_('R')]",4
데이터 분석가,경력 3년차 이상,서울 마포구,6781,"[np.str_('Tableau'), np.str_('Python'), np.str_('Cloud(AWS/GCP)'), np.str_('Excel'), np.str_('SQL')]",5
데이터 분석가,경력 8년차 이상,서울 마포구,10022,"[np.str_('R'), np.str_('Cloud(AWS/GCP)')]",2
데이터 분석가,신입,서울 성동구,5331,"[np.str_('Machine Learning'), np.str_('Python')]",2
데이터 분석가,경력 3년차 이상,서울 구로구,8204,"[np.str_('Machine Learning'), np.str_('R'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('Python')]",5
데이터 분석가,신입,서울 구로구,5342,"[np.str_('Python'), np.str_('Excel'), np.str_('R'), np.str_('SQL'), np.str_('Tableau')]",5
데이터 분석가,경력 3년차 이상,서울 강남구,8862,"[np.str_('Python'), np.str_('Excel'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('R')]",5
데이터 분석가,경력 3년차 이상,판교/분당,8671,"[np.str_('Machine Learning'), np.str_('Python'), np.str_('Cloud(AWS/GCP)'), np.str_('Excel')]",4
데이터 분석가,경력 3년차 이상,서울 강남구,7894,"[np.str_('R'), np.str_('Machine Learning'), np.str_('Excel')]",3
데이터 분석가,경력 8년차 이상,서울 마포구,9528,"[np.str_('SQL'), np.str_('Python'), np.str_('R')]",3
데이터 분석가,경력 3년차 이상,서울 마포구,7811,"[np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL'), np.str_('Python'), np.str_('Machine Learning')]",5
데이터 분석가,경력 3년차 이상,서울 구로구,6976,"[np.str_('Machine Learning'), np.str_('Excel')]",2
데이터 분석가,경력 3년차 이상,판교/분당,8147,"[np.str_('Python'), np.str_('Excel')]",2
데이터 분석가,신입,서울 성동구,5761,"[np.str_('Machine Learning'), np.str_('R'), np.str_('SQL'), np.str_('Cloud(AWS/GCP)')]",4
데이터 분석가,경력 8년차 이상,판교/분당,11020,"[np.str_('Python'), np.str_('Cloud(AWS/GCP)'), np.str_('R'), np.str_('Tableau'), np.str_('SQL')]",5
데이터 분석가,신입,서울 마포구,4241,"[np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('Excel'), np.str_('R')]",4
데이터 분석가,경력 8년차 이상,서울 성동구,8975,"[np.str_('R'), np.str_('SQL'), np.str_('Python'), np.str_('Machine Learning'), np.str_('Tableau')]",5
데이터 분석가,경력 8년차 이상,판교/분당,11072,"[np.str_('R'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL'), np.str_('Excel')]",5
데이터 분석가,경력 3년차 이상,판교/분당,8206,"[np.str_('Tableau'), np.str_('Python')]",2
데이터 분석가,신입,서울 성동구,4521,"[np.str_('R'), np.str_('Excel')]",2
데이터 분석가,경력 8년차 이상,서울 마포구,9863,"[np.str_('Tableau'), np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('R')]",4
데이터 분석가,경력 8년차 이상,판교/분당,11996,"[np.str_('Machine Learning'), np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('Python'), np.str_('R')]",5
데이터 분석가,경력 8년차 이상,서울 성동구,9632,"[np.str_('Python'), np.str_('Excel')]",2
데이터 분석가,경력 8년차 이상,서울 마포구,10583,"[np.str_('Tableau'), np.str_('Machine Learning'), np.str_('R'), np.str_('Python')]",4
데이터 분석가,신입,서울 성동구,4335,"[np.str_('Excel'), np.str_('Tableau')]",2
데이터 분석가,경력 3년차 이상,서울 성동구,7131,"[np.str_('Tableau'), np.str_('R'), np.str_('Cloud(AWS/GCP)')]",3
데이터 분석가,신입,판교/분당,4801,"[np.str_('R'), np.str_('Tableau')]",2
데이터 분석가,경력 8년차 이상,서울 마포구,10113,"[np.str_('Machine Learning'), np.str_('SQL'), np.str_('Excel'), np.str_('R')]",4
데이터 분석가,경력 8년차 이상,판교/분당,11114,"[np.str_('Cloud(AWS/GCP)'), np.str_('R'), np.str_('Python'), np.str_('Tableau'), np.str_('Machine Learning')]",5
데이터 분석가,경력 3년차 이상,서울 강남구,7548,"[np.str_('Excel'), np.str_('Machine Learning'), np.str_('SQL'), np.str_('R'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,신입,서울 강남구,6237,"[np.str_('Excel'), np.str_('Cloud(AWS/GCP)')]",2
데이터 분석가,경력 3년차 이상,서울 마포구,5534,"[np.str_('Excel'), np.str_('Tableau')]",2
데이터 분석가,경력 3년차 이상,서울 성동구,7342,"[np.str_('Excel'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('R')]",4
데이터 분석가,경력 8년차 이상,판교/분당,9846,"[np.str_('Excel'), np.str_('Machine Learning'), np.str_('Python')]",3
데이터 분석가,경력 8년차 이상,판교/분당,10663,"[np.str_('Python'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)')]",3
데이터 분석가,경력 8년차 이상,서울 마포구,10426,"[np.str_('Machine Learning'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)')]",3
데이터 분석가,경력 3년차 이상,서울 마포구,6154,"[np.str_('Excel'), np.str_('Cloud(AWS/GCP)')]",2
데이터 분석가,신입,서울 강남구,6481,"[np.str_('R'), np.str_('Tableau'), np.str_('Python'), np.str_('Cloud(AWS/GCP)')]",4
데이터 분석가,경력 8년차 이상,서울 구로구,9639,"[np.str_('Cloud(AWS/GCP)'), np.str_('R'), np.str_('Machine Learning'), np.str_('Excel')]",4
데이터 분석가,경력 8년차 이상,서울 마포구,9654,"[np.str_('Excel'), np.str_('Python'), np.str_('Tableau'), np.str_('SQL'), np.str_('R')]",5
데이터 분석가,경력 3년차 이상,서울 구로구,6972,"[np.str_('Machine Learning'), np.str_('SQL'), np.str_('R'), np.str_('Excel')]",4
데이터 분석가,경력 8년차 이상,서울 마포구,9660,"[np.str_('Machine Learning'), np.str_('Python'), np.str_('Cloud(AWS/GCP)'), np.str_('Excel')]",4
데이터 분석가,경력 3년차 이상,서울 성동구,7691,"[np.str_('Cloud(AWS/GCP)'), np.str_('R'), np.str_('Tableau'), np.str_('Machine Learning')]",4
데이터 분석가,경력 3년차 이상,서울 성동구,7158,"[np.str_('SQL'), np.str_('Tableau'), np.str_('Machine Learning'), np.str_('Cloud(AWS/GCP)')]",4
데이터 분석가,경력 3년차 이상,서울 강남구,8677,"[np.str_('Python'), np.str_('Excel'), np.str_('Tableau'), np.str_('Machine Learning'), np.str_('R')]",5
데이터 분석가,신입,서울 강남구,5621,"[np.str_('Excel'), np.str_('Cloud(AWS/GCP)')]",2
데이터 분석가,신입,서울 구로구,4221,"[np.str_('Excel'), np.str_('R')]",2
데이터 분석가,신입,서울 마포구,6440,"[np.str_('Excel'), np.str_('Machine Learning'), np.str_('Python'), np.str_('Cloud(AWS/GCP)')]",4
데이터 분석가,경력 8년차 이상,판교/분당,10123,"[np.str_('Tableau'), np.str_('SQL'), np.str_('Excel')]",3
데이터 분석가,경력 3년차 이상,서울 강남구,8109,"[np.str_('Machine Learning'), np.str_('R'), np.str_('Excel')]",3
데이터 분석가,경력 3년차 이상,판교/분당,8158,"[np.str_('Cloud(AWS/GCP)'), np.str_('Python')]",2
데이터 분석가,경력 8년차 이상,판교/분당,9557,"[np.str_('SQL'), np.str_('Python'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)')]",4
데이터 분석가,경력 3년차 이상,서울 마포구,6428,"[np.str_('Tableau'), np.str_('R'), np.str_('Excel')]",3
데이터 분석가,경력 3년차 이상,서울 구로구,6831,"[np.str_('Tableau'), np.str_('Machine Learning'), np.str_('Excel')]",3
데이터 분석가,경력 8년차 이상,서울 마포구,9269,"[np.str_('Excel'), np.str_('Cloud(AWS/GCP)')]",2
데이터 분석가,경력 3년차 이상,서울 강남구,8552,"[np.str_('Excel'), np.str_('Cloud(AWS/GCP)'), np.str_('Tableau'), np.str_('R'), np.str_('Machine Learning')]",5
데이터 분석가,신입,판교/분당,5362,"[np.str_('R'), np.str_('Python')]",2
데이터 분석가,경력 3년차 이상,서울 마포구,7579,"[np.str_('Machine Learning'), np.str_('SQL'), np.str_('Tableau')]",3
데이터 분석가,경력 3년차 이상,서울 마포구,6964,"[np.str_('Python'), np.str_('R'), np.str_('Cloud(AWS/GCP)'), np.str_('Excel')]",4
데이터 분석가,경력 8년차 이상,서울 마포구,9647,"[np.str_('SQL'), np.str_('Machine Learning')]",2
데이터 분석가,경력 8년차 이상,서울 강남구,12199,"[np.str_('SQL'), np.str_('Python'), np.str_('Tableau'), np.str_('Machine Learning'), np.str_('R')]",5
데이터 분석가,경력 8년차 이상,서울 구로구,10569,"[np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('Excel')]",3
데이터 분석가,경력 8년차 이상,서울 마포구,11151,"[np.str_('SQL'), np.str_('Excel'), np.str_('Python'), np.str_('Tableau')]",4
데이터 분석가,경력 8년차 이상,서울 강남구,11016,"[np.str_('Tableau'), np.str_('R')]",2
데이터 분석가,경력 3년차 이상,판교/분당,8857,"[np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('Excel'), np.str_('SQL'), np.str_('Machine Learning')]",5
데이터 분석가,경력 8년차 이상,서울 성동구,9825,"[np.str_('R'), np.str_('Tableau'), np.str_('Machine Learning'), np.str_('SQL'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,경력 3년차 이상,서울 강남구,7619,"[np.str_('Tableau'), np.str_('Python'), np.str_('Excel'), np.str_('Machine Learning')]",4
데이터 분석가,경력 8년차 이상,서울 성동구,8768,"[np.str_('Python'), np.str_('Excel'), np.str_('Machine Learning')]",3
데이터 분석가,경력 8년차 이상,서울 마포구,9125,"[np.str_('Cloud(AWS/GCP)'), np.str_('Tableau'), np.str_('Excel')]",3
데이터 분석가,경력 3년차 이상,서울 마포구,7115,"[np.str_('Cloud(AWS/GCP)'), np.str_('R'), np.str_('Python'), np.str_('Machine Learning'), np.str_('Excel')]",5
데이터 분석가,신입,서울 강남구,6691,"[np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('Tableau'), np.str_('Machine Learning'), np.str_('Python')]",5
데이터 분석가,경력 3년차 이상,서울 성동구,7468,"[np.str_('R'), np.str_('Tableau'), np.str_('Python'), np.str_('Excel')]",4
데이터 분석가,경력 3년차 이상,서울 마포구,6645,"[np.str_('Machine Learning'), np.str_('R')]",2
데이터 분석가,경력 8년차 이상,판교/분당,11424,"[np.str_('Cloud(AWS/GCP)'), np.str_('Python'), np.str_('Tableau')]",3
데이터 분석가,경력 8년차 이상,서울 구로구,8105,"[np.str_('Tableau'), np.str_('Excel')]",2
데이터 분석가,신입,서울 구로구,4525,"[np.str_('R'), np.str_('Excel'), np.str_('Cloud(AWS/GCP)')]",3
데이터 분석가,경력 3년차 이상,서울 마포구,6378,"[np.str_('R'), np.str_('Tableau')]",2
데이터 분석가,경력 3년차 이상,서울 성동구,7522,"[np.str_('Excel'), np.str_('Python'), np.str_('Machine Learning'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL')]",5
데이터 분석가,경력 3년차 이상,서울 마포구,7789,"[np.str_('Python'), np.str_('R'), np.str_('Cloud(AWS/GCP)'), np.str_('Machine Learning'), np.str_('Tableau')]",5
데이터 분석가,신입,서울 성동구,4671,"[np.str_('Excel'), np.str_('SQL')]",2
데이터 분석가,경력 3년차 이상,판교/분당,7398,"[np.str_('Cloud(AWS/GCP)'), np.str_('Tableau'), np.str_('SQL')]",3
데이터 분석가,경력 8년차 이상,서울 성동구,10452,"[np.str_('R'), np.str_('Cloud(AWS/GCP)'), np.str_('Machine Learning'), np.str_('SQL'), np.str_('Python')]",5
데이터 분석가,경력 3년차 이상,서울 마포구,7177,"[np.str_('Tableau'), np.str_('Excel'), np.str_('Machine Learning'), np.str_('Python')]",4
데이터 분석가,경력 3년차 이상,판교/분당,9032,"[np.str_('R'), np.str_('Excel'), np.str_('Python'), np.str_('Cloud(AWS/GCP)')]",4
데이터 분석가,경력 8년차 이상,서울 강남구,11130,"[np.str_('Excel'), np.str_('Tableau'), np.str_('Python')]",3
데이터 분석가,경력 3년차 이상,서울 구로구,7074,"[np.str_('Excel'), np.str_('SQL'), np.str_('Python'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,경력 8년차 이상,서울 마포구,9706,"[np.str_('Cloud(AWS/GCP)'), np.str_('R'), np.str_('Machine Learning')]",3
데이터 분석가,경력 8년차 이상,서울 마포구,9673,"[np.str_('R'), np.str_('Machine Learning'), np.str_('Cloud(AWS/GCP)'), np.str_('Python'), np.str_('Excel')]",5
데이터 분석가,경력 3년차 이상,서울 마포구,7611,"[np.str_('Cloud(AWS/GCP)'), np.str_('Tableau'), np.str_('Python')]",3
데이터 분석가,경력 3년차 이상,판교/분당,7577,"[np.str_('Machine Learning'), np.str_('Python'), np.str_('Cloud(AWS/GCP)')]",3
데이터 분석가,경력 3년차 이상,서울 강남구,7959,"[np.str_('Python'), np.str_('SQL'), np.str_('Excel'), np.str_('R')]",4
데이터 분석가,경력 3년차 이상,서울 성동구,7464,"[np.str_('Machine Learning'), np.str_('R'), np.str_('SQL')]",3
데이터 분석가,신입,서울 강남구,6748,"[np.str_('Machine Learning'), np.str_('Tableau'), np.str_('R'), np.str_('SQL'), np.str_('Excel')]",5
데이터 분석가,경력 8년차 이상,판교/분당,10385,"[np.str_('Python'), np.str_('SQL'), np.str_('Machine Learning'), np.str_('R'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,경력 3년차 이상,서울 마포구,7301,"[np.str_('R'), np.str_('Cloud(AWS/GCP)'), np.str_('Excel'), np.str_('SQL'), np.str_('Tableau')]",5
데이터 분석가,신입,서울 구로구,5623,"[np.str_('Machine Learning'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL'), np.str_('Python')]",4
데이터 분석가,경력 3년차 이상,서울 마포구,7964,"[np.str_('Excel'), np.str_('Cloud(AWS/GCP)'), np.str_('Python'), np.str_('R')]",4
데이터 분석가,경력 8년차 이상,서울 성동구,10035,"[np.str_('Machine Learning'), np.str_('Excel'), np.str_('SQL')]",3
데이터 분석가,경력 3년차 이상,서울 구로구,7520,"[np.str_('SQL'), np.str_('Tableau'), np.str_('Machine Learning'), np.str_('Python'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,신입,서울 마포구,5830,"[np.str_('Python'), np.str_('SQL'), np.str_('Machine Learning'), np.str_('Cloud(AWS/GCP)')]",4
데이터 분석가,경력 3년차 이상,서울 구로구,7321,"[np.str_('Cloud(AWS/GCP)'), np.str_('SQL')]",2
데이터 분석가,경력 8년차 이상,서울 강남구,8792,"[np.str_('R'), np.str_('Machine Learning')]",2
데이터 분석가,경력 3년차 이상,판교/분당,7783,"[np.str_('Excel'), np.str_('Python'), np.str_('Tableau')]",3
데이터 분석가,경력 8년차 이상,서울 마포구,9023,"[np.str_('Excel'), np.str_('Python'), np.str_('Cloud(AWS/GCP)'), np.str_('R')]",4
데이터 분석가,경력 8년차 이상,서울 성동구,9446,"[np.str_('R'), np.str_('Cloud(AWS/GCP)')]",2
데이터 분석가,경력 3년차 이상,서울 강남구,7755,"[np.str_('R'), np.str_('Excel'), np.str_('SQL'), np.str_('Tableau'), np.str_('Python')]",5
데이터 분석가,경력 8년차 이상,서울 마포구,7722,"[np.str_('R'), np.str_('Tableau')]",2
데이터 분석가,경력 3년차 이상,서울 강남구,9299,"[np.str_('R'), np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('Tableau'), np.str_('Python')]",5
데이터 분석가,경력 8년차 이상,서울 성동구,9651,"[np.str_('Cloud(AWS/GCP)'), np.str_('R'), np.str_('Machine Learning'), np.str_('SQL')]",4
데이터 분석가,경력 8년차 이상,서울 마포구,10947,"[np.str_('Cloud(AWS/GCP)'), np.str_('Excel'), np.str_('Python'), np.str_('SQL')]",4
데이터 분석가,경력 3년차 이상,서울 성동구,7619,"[np.str_('Tableau'), np.str_('Python'), np.str_('Machine Learning'), np.str_('Excel')]",4
데이터 분석가,신입,서울 구로구,5285,"[np.str_('Tableau'), np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('R'), np.str_('Excel')]",5
데이터 분석가,경력 8년차 이상,서울 성동구,10527,"[np.str_('Machine Learning'), np.str_('Python'), np.str_('Tableau'), np.str_('Excel')]",4
데이터 분석가,경력 3년차 이상,서울 구로구,7369,"[np.str_('R'), np.str_('Excel'), np.str_('Python')]",3
데이터 분석가,경력 3년차 이상,서울 마포구,7858,"[np.str_('Tableau'), np.str_('SQL'), np.str_('Python'), np.str_('Cloud(AWS/GCP)')]",4
데이터 분석가,신입,서울 구로구,4299,"[np.str_('SQL'), np.str_('R')]",2
데이터 분석가,경력 3년차 이상,서울 마포구,6698,"[np.str_('R'), np.str_('SQL'), np.str_('Excel')]",3
데이터 분석가,경력 8년차 이상,서울 마포구,7498,"[np.str_('Machine Learning'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL')]",3
데이터 분석가,신입,판교/분당,6612,"[np.str_('Python'), np.str_('Cloud(AWS/GCP)'), np.str_('R'), np.str_('Machine Learning'), np.str_('Tableau')]",5
데이터 분석가,경력 3년차 이상,서울 마포구,6542,"[np.str_('Python'), np.str_('SQL'), np.str_('Excel'), np.str_('R'), np.str_('Tableau')]",5
데이터 분석가,경력 3년차 이상,서울 구로구,6337,"[np.str_('Excel'), np.str_('Tableau')]",2
데이터 분석가,경력 8년차 이상,판교/분당,9577,"[np.str_('Python'), np.str_('SQL'), np.str_('R')]",3
데이터 분석가,경력 3년차 이상,판교/분당,8752,"[np.str_('SQL'), np.str_('Python'), np.str_('Cloud(AWS/GCP)'), np.str_('Machine Learning'), np.str_('Excel')]",5
데이터 분석가,경력 8년차 이상,서울 마포구,9721,"[np.str_('Machine Learning'), np.str_('Tableau'), np.str_('Python')]",3
데이터 분석가,경력 3년차 이상,서울 성동구,6929,"[np.str_('Excel'), np.str_('R'), np.str_('Machine Learning'), np.str_('Python')]",4
데이터 분석가,경력 8년차 이상,서울 성동구,10312,"[np.str_('Machine Learning'), np.str_('R'), np.str_('Excel')]",3
데이터 분석가,신입,판교/분당,5776,"[np.str_('SQL'), np.str_('R'), np.str_('Cloud(AWS/GCP)'), np.str_('Python')]",4
데이터 분석가,경력 3년차 이상,서울 마포구,7383,"[np.str_('Excel'), np.str_('R'), np.str_('Tableau'), np.str_('Python')]",4
데이터 분석가,신입,서울 성동구,4806,"[np.str_('R'), np.str_('Tableau')]",2
데이터 분석가,경력 8년차 이상,서울 마포구,8456,"[np.str_('Tableau'), np.str_('R')]",2
데이터 분석가,경력 8년차 이상,서울 마포구,9543,"[np.str_('SQL'), np.str_('Excel'), np.str_('R')]",3
데이터 분석가,경력 3년차 이상,판교/분당,8881,"[np.str_('SQL'), np.str_('Python'), np.str_('R'), np.str_('Cloud(AWS/GCP)')]",4
데이터 분석가,경력 8년차 이상,판교/분당,9335,"[np.str_('Excel'), np.str_('Cloud(AWS/GCP)'), np.str_('Machine Learning')]",3
데이터 분석가,경력 8년차 이상,서울 강남구,9942,"[np.str_('Excel'), np.str_('Tableau')]",2
데이터 분석가,경력 3년차 이상,서울 성동구,7638,"[np.str_('Tableau'), np.str_('SQL'), np.str_('Machine Learning'), np.str_('Excel'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,경력 3년차 이상,서울 성동구,6937,"[np.str_('Machine Learning'), np.str_('SQL'), np.str_('R')]",3
데이터 분석가,경력 3년차 이상,서울 성동구,6624,"[np.str_('Excel'), np.str_('Tableau'), np.str_('SQL'), np.str_('R')]",4
