직무,경력,지역,회사규모,재택비율,기술_개수,연봉
데이터 엔지니어,신입,경기,M,100,5,7303
백엔드 개발자,경력,경기,M,50,5,8603
백엔드 개발자,경력,서울,L,100,2,9173
UI/UX 디자이너,경력,서울,M,50,1,4584
퍼포먼스 마케터,경력,서울,L,0,3,6261
고객상담 CS,경력,서울,M,0,3,3399
데이터 엔지니어,경력,경기,S,100,3,6822
데이터 분석가,경력,서울,L,0,2,9627
퍼포먼스 마케터,경력,서울,M,100,2,7060
데이터 분석가,신입,울산,M,0,2,3547
백엔드 개발자,경력,서울,M,50,2,7067
데이터 분석가,경력,서울,S,0,2,8453
데이터 엔지니어,경력,서울,S,50,2,9015
고객상담 CS,신입,광주,S,100,1,2000
데이터 엔지니어,경력,서울,S,0,4,7666
백엔드 개발자,경력,경기,L,0,5,7469
데이터 엔지니어,신입,경기,M,0,5,6493
데이터 분석가,경력,울산,M,50,5,8185
데이터 엔지니어,신입,서울,L,50,2,5935
UI/UX 디자이너,경력,대전,L,0,1,6733
백엔드 개발자,경력,서울,M,0,4,6649
퍼포먼스 마케터,경력,서울,M,0,1,5504
일반사무,경력,서울,S,0,1,3174
고객상담 CS,경력,서울,M,50,2,3055
백엔드 개발자,경력,부산,M,100,5,6057
프론트엔드 개발자,경력,서울,S,0,3,6479
인사 총무,경력,경기,L,50,2,5409
백엔드 개발자,경력,대구,M,50,4,5689
프론트엔드 개발자,경력,경기,M,100,2,7970
데이터 엔지니어,경력,울산,M,0,4,5731
프론트엔드 개발자,경력,경기,M,50,5,7136
데이터 분석가,경력,인천,M,50,4,6805
인사 총무,경력,서울,S,50,1,3494
백엔드 개발자,신입,서울,M,50,3,4009
데이터 분석가,경력,서울,L,0,4,9162
데이터 분석가,신입,서울,M,50,2,4561
데이터 분석가,신입,서울,M,100,4,2892
프론트엔드 개발자,신입,서울,M,0,3,3487
프론트엔드 개발자,경력,서울,M,0,2,5113
프론트엔드 개발자,경력,경기,M,0,5,8489
프론트엔드 개발자,경력,서울,M,100,5,8009
프론트엔드 개발자,경력,울산,M,0,4,5020
데이터 분석가,경력,서울,L,0,4,8347
백엔드 개발자,경력,서울,M,100,2,7745
백엔드 개발자,경력,부산,M,50,3,6481
데이터 엔지니어,경력,서울,M,50,4,6849
일반사무,경력,서울,M,100,1,3805
프론트엔드 개발자,신입,서울,S,0,2,3215
데이터 분석가,신입,서울,M,50,4,6173
영업 지원,경력,광주,S,50,2,3428
데이터 분석가,경력,부산,M,50,4,6736
데이터 분석가,경력,경기,M,0,5,7049
백엔드 개발자,경력,인천,M,50,4,7548
프론트엔드 개발자,신입,인천,M,50,4,4222
백엔드 개발자,경력,경기,M,0,4,7398
UI/UX 디자이너,경력,인천,M,0,3,4953
데이터 분석가,신입,경기,M,50,3,4075
인사 총무,신입,부산,S,0,3,2000
백엔드 개발자,경력,서울,M,50,3,7683
데이터 엔지니어,경력,서울,L,50,3,9127
UI/UX 디자이너,경력,서울,S,0,3,3708
영업 지원,경력,경기,L,50,2,4975
데이터 분석가,신입,서울,L,100,2,4932
데이터 분석가,경력,부산,S,100,5,6468
UI/UX 디자이너,경력,경기,S,50,2,7143
데이터 엔지니어,경력,경기,L,0,2,10905
프론트엔드 개발자,신입,대구,S,50,5,2595
백엔드 개발자,경력,서울,M,50,5,7010
프론트엔드 개발자,신입,서울,M,0,4,3146
데이터 엔지니어,경력,서울,S,0,3,10926
데이터 엔지니어,경력,경기,M,50,3,7067
프론트엔드 개발자,신입,서울,L,100,3,3875
프론트엔드 개발자,경력,광주,L,100,5,6103
데이터 분석가,신입,서울,M,0,4,5152
퍼포먼스 마케터,경력,경기,L,100,2,6381
퍼포먼스 마케터,경력,경기,S,0,2,3324
영업 지원,경력,서울,L,0,3,5941
데이터 엔지니어,경력,서울,M,50,3,9194
경리 회계,신입,경기,L,50,1,2778
백엔드 개발자,경력,경기,M,50,3,7568
고객상담 CS,경력,서울,S,0,2,2375
프론트엔드 개발자,경력,서울,S,50,2,7908
데이터 분석가,신입,대구,L,50,5,5146
UI/UX 디자이너,경력,경기,L,50,2,7294
데이터 분석가,경력,서울,M,0,2,9442
퍼포먼스 마케터,경력,대구,M,50,2,4803
데이터 분석가,경력,서울,M,0,5,8396
데이터 분석가,경력,경기,M,50,4,7690
프론트엔드 개발자,경력,서울,S,0,4,7576
데이터 엔지니어,경력,서울,S,100,3,6579
고객상담 CS,경력,경기,M,50,2,3179
고객상담 CS,경력,경기,M,0,3,2981
고객상담 CS,경력,서울,M,0,3,3357
데이터 엔지니어,경력,광주,L,50,3,8760
프론트엔드 개발자,경력,경기,M,50,2,6512
데이터 분석가,경력,서울,M,0,2,8230
UI/UX 디자이너,경력,경기,M,100,2,4954
데이터 분석가,경력,서울,L,50,2,8757
백엔드 개발자,경력,서울,M,0,4,8410
백엔드 개발자,경력,서울,S,0,3,5200
프론트엔드 개발자,신입,대구,S,0,2,2207
UI/UX 디자이너,신입,대전,M,0,2,4841
UI/UX 디자이너,경력,울산,M,0,1,5636
UI/UX 디자이너,경력,경기,S,0,3,5122
인사 총무,경력,경기,S,50,2,3257
프론트엔드 개발자,신입,경기,M,100,2,4249
데이터 엔지니어,경력,경기,M,0,2,9280
백엔드 개발자,신입,서울,S,100,2,4314
프론트엔드 개발자,신입,서울,M,0,2,4042
데이터 분석가,경력,광주,S,100,4,6454
인사 총무,경력,경기,M,0,2,4418
프론트엔드 개발자,경력,서울,S,0,2,4710
일반사무,경력,경기,S,100,2,2842
백엔드 개발자,경력,서울,L,0,5,9616
데이터 분석가,신입,경기,L,50,4,6178
백엔드 개발자,신입,부산,S,0,3,3404
데이터 엔지니어,경력,대전,S,100,5,6849
경리 회계,경력,서울,M,50,3,3593
퍼포먼스 마케터,경력,경기,M,50,1,5451
백엔드 개발자,신입,부산,M,100,5,4025
백엔드 개발자,경력,서울,M,50,5,6014
퍼포먼스 마케터,경력,서울,S,100,1,5701
UI/UX 디자이너,경력,서울,L,50,2,8368
데이터 엔지니어,신입,서울,M,0,5,5420
데이터 분석가,신입,서울,S,50,3,6060
경리 회계,경력,서울,S,100,1,4405
데이터 분석가,경력,경기,S,50,5,7529
백엔드 개발자,신입,경기,S,50,5,3586
백엔드 개발자,경력,서울,L,50,4,6415
일반사무,경력,경기,S,50,1,3003
프론트엔드 개발자,신입,서울,S,0,5,3409
데이터 분석가,경력,경기,S,0,4,5462
데이터 엔지니어,경력,부산,S,50,5,6469
UI/UX 디자이너,경력,서울,L,0,2,9564
UI/UX 디자이너,경력,경기,M,50,2,7071
인사 총무,경력,경기,M,50,1,3599
UI/UX 디자이너,경력,서울,M,100,1,6776
UI/UX 디자이너,경력,경기,M,0,3,5252
데이터 엔지니어,경력,서울,L,0,2,10494
일반사무,경력,서울,M,0,2,3617
일반사무,경력,인천,L,50,2,4353
고객상담 CS,신입,서울,M,50,2,2009
일반사무,경력,서울,S,100,3,3728
백엔드 개발자,신입,서울,S,50,5,5870
프론트엔드 개발자,신입,서울,L,0,2,6618
데이터 분석가,경력,경기,M,0,3,7867
데이터 분석가,경력,서울,L,50,5,9011
프론트엔드 개발자,경력,서울,M,0,5,4904
백엔드 개발자,경력,부산,M,100,5,7629
프론트엔드 개발자,신입,울산,S,0,4,3453
백엔드 개발자,경력,서울,M,0,3,6445
백엔드 개발자,경력,경기,S,0,5,6006
프론트엔드 개발자,경력,경기,S,0,2,5947
데이터 분석가,경력,경기,S,0,3,5789
퍼포먼스 마케터,신입,경기,L,100,2,4617
데이터 분석가,신입,부산,L,50,5,5401
UI/UX 디자이너,신입,경기,M,50,2,4099
데이터 엔지니어,신입,경기,M,100,4,5334
퍼포먼스 마케터,경력,서울,M,100,2,5521
퍼포먼스 마케터,경력,인천,M,0,1,3844
백엔드 개발자,경력,경기,M,50,2,8138
프론트엔드 개발자,경력,서울,M,0,2,7737
백엔드 개발자,경력,경기,M,0,3,7322
데이터 분석가,신입,경기,S,50,3,5711
일반사무,경력,서울,S,0,3,2002
데이터 분석가,경력,경기,M,0,3,5738
백엔드 개발자,신입,서울,M,100,4,4774
프론트엔드 개발자,신입,경기,M,100,4,4423
일반사무,신입,경기,M,0,2,2851
데이터 분석가,경력,서울,S,100,4,8088
고객상담 CS,경력,부산,L,0,1,2098
UI/UX 디자이너,신입,서울,L,50,2,3646
경리 회계,경력,경기,L,50,2,4572
백엔드 개발자,경력,서울,M,100,5,7305
데이터 엔지니어,신입,서울,M,0,2,5359
프론트엔드 개발자,경력,울산,S,50,4,3944
일반사무,신입,서울,L,50,2,2000
프론트엔드 개발자,신입,서울,S,100,4,3539
데이터 엔지니어,경력,서울,L,50,5,8969
데이터 엔지니어,경력,인천,M,50,3,6537
데이터 분석가,경력,서울,L,50,5,7925
데이터 분석가,경력,대전,S,50,3,6642
백엔드 개발자,경력,서울,M,100,4,6026
영업 지원,신입,서울,S,100,1,2699
UI/UX 디자이너,신입,서울,M,100,1,5509
인사 총무,경력,경기,S,0,1,2948
데이터 엔지니어,신입,경기,L,0,3,4338
UI/UX 디자이너,경력,대구,M,100,3,5787
백엔드 개발자,경력,경기,M,50,3,7408
인사 총무,경력,서울,S,50,2,4101
고객상담 CS,경력,대전,M,50,1,2604
영업 지원,경력,경기,M,0,1,2398
UI/UX 디자이너,신입,서울,M,0,1,4437
프론트엔드 개발자,경력,서울,M,50,3,5909
데이터 분석가,신입,경기,M,0,2,4618
인사 총무,경력,서울,L,0,1,4261
인사 총무,신입,서울,M,50,3,2483
데이터 엔지니어,신입,서울,S,50,2,5821
퍼포먼스 마케터,경력,서울,M,50,2,6377
데이터 분석가,경력,광주,S,0,2,7521
경리 회계,신입,경기,S,0,2,2000
UI/UX 디자이너,신입,서울,S,0,1,4758
퍼포먼스 마케터,신입,서울,S,0,2,2138
백엔드 개발자,경력,서울,M,50,2,6593
인사 총무,신입,서울,L,0,1,3613
인사 총무,경력,서울,M,0,1,3925
데이터 분석가,경력,경기,M,0,2,8498
경리 회계,경력,부산,S,0,3,2000
데이터 엔지니어,경력,경기,M,0,4,8311
백엔드 개발자,경력,부산,S,50,2,5607
데이터 엔지니어,경력,경기,M,0,2,6993
데이터 엔지니어,신입,서울,L,50,5,6278
데이터 엔지니어,경력,경기,M,50,5,9354
UI/UX 디자이너,신입,서울,S,50,2,3891
백엔드 개발자,경력,대전,S,0,5,4687
백엔드 개발자,신입,울산,M,0,4,3561
데이터 엔지니어,경력,서울,L,50,4,10964
데이터 분석가,신입,서울,M,0,3,7049
데이터 분석가,경력,부산,S,50,5,6575
데이터 엔지니어,경력,경기,M,50,2,8686
경리 회계,신입,서울,S,0,1,2000
퍼포먼스 마케터,신입,서울,L,50,2,5224
UI/UX 디자이너,신입,서울,M,50,2,3725
퍼포먼스 마케터,경력,부산,S,50,3,5056
퍼포먼스 마케터,경력,경기,S,0,2,5628
퍼포먼스 마케터,경력,서울,M,50,1,6737
프론트엔드 개발자,경력,경기,S,50,4,5276
일반사무,신입,서울,M,50,1,2000
경리 회계,경력,서울,L,50,1,4808
데이터 분석가,경력,서울,S,0,4,8735
경리 회계,신입,서울,M,50,3,2953
데이터 분석가,경력,부산,M,50,2,5460
고객상담 CS,신입,경기,M,50,2,2312
프론트엔드 개발자,신입,대전,S,50,3,4014
영업 지원,경력,경기,S,100,3,3542
백엔드 개발자,경력,경기,S,50,5,6644
백엔드 개발자,신입,서울,S,0,4,3464
데이터 엔지니어,경력,서울,S,50,5,9935
데이터 분석가,경력,서울,M,50,2,7823
프론트엔드 개발자,경력,서울,L,0,4,7715
퍼포먼스 마케터,경력,부산,M,50,1,4980
고객상담 CS,신입,경기,S,50,1,2156
데이터 분석가,신입,경기,M,0,3,4744
프론트엔드 개발자,경력,서울,L,50,2,8020
UI/UX 디자이너,신입,부산,M,0,2,3346
퍼포먼스 마케터,경력,서울,M,50,2,5188
인사 총무,경력,서울,M,0,3,4044
퍼포먼스 마케터,경력,경기,M,0,2,5520
데이터 엔지니어,경력,울산,M,0,2,6327
데이터 분석가,경력,서울,M,50,4,7204
백엔드 개발자,경력,광주,S,50,5,3358
백엔드 개발자,경력,서울,M,50,3,4416
인사 총무,경력,인천,L,0,2,4778
데이터 분석가,신입,서울,L,50,3,5851
고객상담 CS,경력,서울,M,0,1,2724
백엔드 개발자,경력,경기,M,0,4,6400
데이터 분석가,경력,서울,S,100,3,8680
데이터 분석가,경력,서울,L,100,5,11728
고객상담 CS,경력,경기,M,0,2,3308
인사 총무,경력,서울,M,100,2,4176
데이터 엔지니어,경력,경기,M,50,3,8011
경리 회계,경력,부산,S,0,3,2628
일반사무,신입,서울,L,0,3,2772
데이터 엔지니어,경력,경기,M,0,3,9386
영업 지원,신입,부산,S,100,3,2000
영업 지원,경력,경기,S,50,2,4468
백엔드 개발자,경력,서울,M,0,5,6817
데이터 분석가,경력,서울,M,100,5,8999
데이터 분석가,경력,경기,M,100,5,8981
UI/UX 디자이너,경력,서울,S,0,2,4338
프론트엔드 개발자,신입,서울,M,0,5,4740
퍼포먼스 마케터,경력,서울,M,100,2,6401
인사 총무,신입,경기,L,100,3,4419
UI/UX 디자이너,신입,서울,M,50,3,4073
인사 총무,경력,경기,M,50,2,4006
백엔드 개발자,경력,경기,L,50,5,9643
인사 총무,경력,경기,S,0,1,4208
고객상담 CS,신입,서울,M,100,2,2007
데이터 엔지니어,경력,서울,S,0,5,5675
백엔드 개발자,경력,서울,M,50,2,5948
프론트엔드 개발자,신입,서울,S,0,5,2000
데이터 엔지니어,경력,서울,S,0,2,6909
데이터 분석가,경력,경기,L,50,4,9883
데이터 분석가,경력,대구,S,0,2,6602
일반사무,경력,서울,L,100,2,4529
일반사무,경력,서울,M,100,1,4209
백엔드 개발자,경력,서울,M,50,2,6035
백엔드 개발자,경력,경기,M,50,2,7768
데이터 분석가,경력,대구,M,100,5,7470
UI/UX 디자이너,경력,경기,L,100,3,8501
백엔드 개발자,신입,서울,L,100,4,6560
데이터 엔지니어,경력,경기,L,50,4,12096
프론트엔드 개발자,경력,경기,S,0,4,4830
퍼포먼스 마케터,경력,서울,M,50,1,6851
프론트엔드 개발자,경력,서울,M,0,2,4879
데이터 엔지니어,신입,서울,M,50,3,5084
프론트엔드 개발자,신입,부산,M,100,5,3674
고객상담 CS,경력,경기,S,50,3,2965
데이터 분석가,신입,서울,L,50,4,5530
데이터 분석가,경력,서울,S,100,5,8344
고객상담 CS,경력,서울,M,0,1,3134
백엔드 개발자,경력,경기,S,50,4,7871
퍼포먼스 마케터,경력,부산,M,0,1,4881
데이터 엔지니어,신입,광주,M,0,4,3328
데이터 분석가,경력,서울,M,50,3,8416
UI/UX 디자이너,경력,경기,S,0,2,5721
데이터 엔지니어,경력,대구,M,50,5,6862
데이터 분석가,경력,경기,S,50,3,6349
데이터 분석가,경력,울산,M,100,4,7239
데이터 엔지니어,경력,경기,M,50,4,9424
프론트엔드 개발자,경력,울산,M,100,4,6290
프론트엔드 개발자,경력,서울,L,0,4,6477
퍼포먼스 마케터,경력,경기,M,100,2,4987
백엔드 개발자,경력,경기,M,0,3,5583
데이터 엔지니어,경력,경기,M,100,3,6961
UI/UX 디자이너,경력,서울,S,50,1,6876
데이터 분석가,경력,부산,L,100,4,9014
UI/UX 디자이너,신입,서울,S,50,3,3450
프론트엔드 개발자,경력,경기,M,0,4,6034
프론트엔드 개발자,신입,서울,M,50,3,4261
일반사무,경력,서울,L,50,3,4269
영업 지원,경력,대구,M,50,1,4148
데이터 분석가,신입,서울,M,0,4,3597
프론트엔드 개발자,경력,경기,M,0,5,5097
데이터 엔지니어,경력,서울,M,0,4,9497
경리 회계,신입,서울,S,0,1,2000
데이터 엔지니어,신입,경기,S,0,3,4918
퍼포먼스 마케터,경력,서울,M,100,1,5800
퍼포먼스 마케터,경력,경기,L,50,1,6432
백엔드 개발자,경력,경기,S,0,2,6704
일반사무,신입,서울,M,50,1,2446
데이터 엔지니어,신입,경기,L,0,2,8893
데이터 분석가,경력,대전,M,50,4,6684
데이터 분석가,경력,경기,S,100,5,7412
퍼포먼스 마케터,신입,경기,M,100,1,2573
인사 총무,경력,서울,M,100,2,4543
UI/UX 디자이너,경력,경기,S,100,3,5618
백엔드 개발자,신입,서울,M,0,3,2924
일반사무,경력,서울,M,0,2,2904
데이터 엔지니어,경력,인천,S,0,5,6542
경리 회계,경력,광주,S,0,3,3799
백엔드 개발자,경력,서울,M,0,4,8238
데이터 엔지니어,경력,서울,S,50,4,6982
퍼포먼스 마케터,경력,경기,L,50,3,5538
데이터 엔지니어,신입,서울,S,50,4,4371
데이터 분석가,경력,경기,L,0,4,10940
고객상담 CS,신입,서울,S,0,2,2144
퍼포먼스 마케터,경력,서울,S,100,3,6091
UI/UX 디자이너,신입,서울,L,0,1,5089
퍼포먼스 마케터,경력,서울,S,0,2,4261
백엔드 개발자,경력,경기,M,100,3,9299
데이터 분석가,신입,부산,M,50,3,3841
퍼포먼스 마케터,경력,인천,M,0,3,4881
인사 총무,경력,서울,L,0,1,3641
영업 지원,신입,서울,S,0,3,2748
경리 회계,경력,경기,M,100,2,3846
백엔드 개발자,경력,서울,M,50,4,7708
고객상담 CS,경력,인천,M,100,2,2935
인사 총무,신입,부산,S,50,3,2850
데이터 엔지니어,신입,서울,L,0,4,10810
백엔드 개발자,경력,경기,L,100,4,6667
데이터 엔지니어,경력,울산,M,50,2,9200
데이터 분석가,경력,서울,M,0,2,7432
데이터 엔지니어,경력,서울,M,0,5,10646
프론트엔드 개발자,경력,경기,S,0,4,5043
영업 지원,경력,서울,M,100,1,4606
프론트엔드 개발자,신입,서울,L,0,2,5817
백엔드 개발자,신입,인천,M,0,5,4998
UI/UX 디자이너,신입,인천,M,0,3,4686
영업 지원,경력,경기,M,50,1,4080
고객상담 CS,신입,서울,M,0,3,2000
데이터 분석가,신입,서울,M,50,3,7013
데이터 엔지니어,경력,경기,L,0,3,8672
데이터 엔지니어,경력,서울,S,50,5,6538
데이터 분석가,경력,경기,S,50,2,7123
데이터 엔지니어,경력,서울,M,100,2,8001
데이터 분석가,경력,경기,M,100,5,8336
데이터 분석가,신입,서울,L,0,2,5555
데이터 분석가,경력,서울,L,100,4,9547
경리 회계,경력,서울,M,0,2,4536
데이터 분석가,경력,서울,M,50,3,4200
백엔드 개발자,신입,경기,L,50,3,7071
데이터 분석가,경력,경기,L,0,4,8514
퍼포먼스 마케터,신입,서울,S,100,3,4349
데이터 엔지니어,경력,인천,L,50,5,10024
UI/UX 디자이너,신입,경기,S,0,1,4999
백엔드 개발자,경력,경기,S,0,3,4358
백엔드 개발자,경력,서울,S,0,3,6415
경리 회계,신입,경기,M,50,1,2749
데이터 엔지니어,경력,대구,S,50,2,7322
경리 회계,경력,서울,M,0,3,3822
UI/UX 디자이너,경력,경기,M,50,3,5885
데이터 분석가,신입,대전,S,0,5,4496
백엔드 개발자,신입,경기,M,50,2,5551
일반사무,경력,서울,S,50,1,2254
데이터 분석가,신입,서울,M,0,3,5733
일반사무,경력,서울,M,0,3,4182
고객상담 CS,경력,부산,S,50,3,2639
퍼포먼스 마케터,신입,부산,L,100,3,3630
일반사무,신입,경기,M,50,3,2693
데이터 분석가,경력,경기,S,0,2,5495
데이터 분석가,신입,대구,M,50,5,5031
데이터 분석가,경력,부산,L,100,4,6613
데이터 엔지니어,경력,서울,M,0,2,7998
프론트엔드 개발자,경력,서울,M,100,2,8453
데이터 분석가,경력,서울,L,50,3,9356
UI/UX 디자이너,경력,서울,L,0,3,9019
프론트엔드 개발자,신입,경기,M,50,3,5168
UI/UX 디자이너,신입,서울,S,0,2,2919
영업 지원,경력,경기,L,50,2,4752
프론트엔드 개발자,경력,서울,L,50,4,8609
데이터 엔지니어,경력,경기,M,0,2,6926
데이터 분석가,경력,경기,M,0,3,6471
인사 총무,경력,서울,M,50,2,2807
백엔드 개발자,경력,서울,M,100,2,6388
경리 회계,경력,서울,S,0,3,3015
데이터 엔지니어,경력,경기,S,0,3,5662
데이터 엔지니어,경력,경기,M,100,2,10631
프론트엔드 개발자,경력,경기,S,50,4,5344
프론트엔드 개발자,경력,서울,L,50,4,8587
데이터 분석가,경력,서울,M,100,4,8362
경리 회계,경력,경기,M,100,1,3382
UI/UX 디자이너,경력,서울,S,50,1,8081
백엔드 개발자,경력,서울,S,0,4,7336
퍼포먼스 마케터,경력,서울,S,0,2,7525
영업 지원,신입,서울,L,0,1,3452
고객상담 CS,경력,경기,L,0,1,3627
프론트엔드 개발자,경력,서울,M,0,4,6317
백엔드 개발자,신입,서울,L,0,3,4546
UI/UX 디자이너,경력,서울,L,50,1,7382
프론트엔드 개발자,경력,경기,L,50,2,7536
데이터 분석가,신입,경기,M,50,3,3689
영업 지원,경력,경기,M,100,1,3295
프론트엔드 개발자,경력,서울,M,50,2,8160
데이터 엔지니어,신입,서울,L,50,4,4426
프론트엔드 개발자,경력,서울,M,50,3,6745
일반사무,신입,대전,M,0,1,2287
인사 총무,경력,서울,M,100,3,4226
데이터 분석가,신입,경기,M,50,2,6546
백엔드 개발자,신입,서울,L,100,5,6625
데이터 엔지니어,경력,인천,M,100,5,8715
UI/UX 디자이너,신입,경기,L,50,3,5623
고객상담 CS,신입,서울,M,0,3,2660
백엔드 개발자,경력,경기,M,50,5,7573
데이터 엔지니어,신입,경기,S,100,2,6796
퍼포먼스 마케터,경력,경기,L,50,3,7768
프론트엔드 개발자,경력,인천,M,0,5,5370
프론트엔드 개발자,신입,울산,L,50,2,5048
프론트엔드 개발자,경력,부산,M,100,5,6830
영업 지원,신입,경기,M,50,3,2000
경리 회계,경력,서울,S,0,2,3914
UI/UX 디자이너,경력,서울,S,50,2,7925
일반사무,경력,경기,L,100,2,4577
프론트엔드 개발자,신입,대구,M,50,5,3316
데이터 분석가,신입,대구,M,0,3,4107
UI/UX 디자이너,신입,인천,L,0,3,3621
데이터 분석가,신입,서울,M,50,2,6448
백엔드 개발자,경력,서울,M,0,3,6728
백엔드 개발자,신입,서울,S,100,5,3609
데이터 분석가,신입,광주,M,100,5,2645
데이터 엔지니어,경력,서울,S,100,5,7671
백엔드 개발자,경력,서울,S,100,4,6318
고객상담 CS,신입,서울,L,50,2,2131
인사 총무,신입,경기,M,0,2,2000
퍼포먼스 마케터,경력,울산,M,50,1,5668
백엔드 개발자,경력,경기,M,50,4,7427
데이터 분석가,신입,경기,M,100,3,5597
데이터 분석가,경력,경기,M,50,4,7238
인사 총무,신입,경기,M,50,1,3214
퍼포먼스 마케터,경력,경기,M,50,3,5268
영업 지원,경력,서울,S,100,1,4714
데이터 엔지니어,신입,서울,L,0,3,4945
데이터 엔지니어,경력,인천,M,50,2,8313
인사 총무,신입,경기,S,0,2,2006
경리 회계,경력,경기,S,0,1,3556
데이터 분석가,경력,서울,S,50,3,6235
인사 총무,경력,서울,M,50,3,3799
백엔드 개발자,경력,경기,L,50,2,9184
UI/UX 디자이너,경력,서울,M,0,3,6358
영업 지원,경력,경기,S,0,2,2278
고객상담 CS,경력,경기,S,0,1,3675
경리 회계,경력,서울,L,50,3,3873
경리 회계,신입,경기,S,50,1,2481
퍼포먼스 마케터,경력,서울,M,50,1,5086
데이터 엔지니어,경력,서울,L,50,4,10086
UI/UX 디자이너,경력,경기,S,0,2,7146
데이터 엔지니어,신입,광주,S,50,2,6554
데이터 엔지니어,경력,경기,S,0,3,8351
데이터 엔지니어,경력,대전,S,0,5,6152
데이터 분석가,신입,서울,M,0,4,4288
프론트엔드 개발자,신입,서울,M,50,5,2491
데이터 엔지니어,신입,서울,S,100,2,5120
UI/UX 디자이너,경력,서울,L,100,3,9847
데이터 엔지니어,신입,서울,M,50,5,5986
퍼포먼스 마케터,신입,경기,M,0,3,3904
영업 지원,신입,경기,M,50,3,2000
데이터 엔지니어,경력,경기,L,100,3,8479
프론트엔드 개발자,경력,서울,M,100,5,6843
데이터 분석가,경력,서울,S,100,2,7177
데이터 엔지니어,경력,경기,M,50,4,8015
데이터 분석가,경력,서울,L,100,3,10181
인사 총무,신입,경기,S,0,1,2000
UI/UX 디자이너,신입,경기,M,100,1,4613
데이터 분석가,경력,경기,S,0,3,5250
백엔드 개발자,경력,부산,S,0,2,5516
프론트엔드 개발자,경력,경기,S,0,3,5419
데이터 분석가,경력,서울,S,50,3,6442
데이터 엔지니어,경력,부산,S,0,4,8479
UI/UX 디자이너,신입,서울,M,50,1,4661
백엔드 개발자,경력,광주,M,50,2,8626
데이터 분석가,경력,서울,S,100,3,9807
데이터 분석가,신입,경기,M,0,3,3766
퍼포먼스 마케터,경력,대구,M,50,3,3989
데이터 분석가,경력,서울,M,0,4,8853
퍼포먼스 마케터,경력,부산,M,0,3,4563
프론트엔드 개발자,경력,서울,M,0,5,6359
데이터 분석가,신입,서울,L,100,5,6493
데이터 엔지니어,신입,인천,L,50,4,5608
데이터 엔지니어,경력,서울,M,50,2,7689
백엔드 개발자,경력,서울,S,100,4,6639
백엔드 개발자,신입,서울,M,50,3,2000
일반사무,경력,서울,L,0,2,3783
데이터 엔지니어,신입,부산,L,0,5,4186
데이터 엔지니어,신입,서울,L,0,4,6151
데이터 분석가,경력,서울,M,0,5,7720
일반사무,경력,경기,S,0,3,4267
