work_year,experience_level,job_title,salary_in_usd,employment_type,company_location
2025,EN,UI/UX Designer,49524,FT,US
2024,SE,HR Analyst,74918,FT,US
2024,MI,Data Analyst,67193,FT,US
2023,EN,ETL Developer,73952,FT,US
2023,MI,ETL Developer,95656,FT,US
2023,EN,Backend Developer,69265,FT,US
2024,EN,BI Analyst,48081,FT,US
2024,EX,BI Analyst,142701,FT,US
2024,SE,ETL Developer,118253,FT,US
2023,MI,UI/UX Designer,88938,FT,US
2024,EN,Frontend Developer,63164,FT,US
2025,MI,Data Analyst,80518,FT,US
2025,EN,Data Engineer,79641,FT,US
2023,MI,Software Engineer,116304,FT,US
2023,SE,Administrative Assistant,66810,FT,US
2023,SE,Sales Analyst,83615,FT,US
2025,EN,Software Engineer,62161,FT,US
2023,MI,Backend Developer,111540,FT,US
2023,EN,Financial Analyst,61467,FT,US
2023,EN,Marketing Analyst,52856,FT,US
2023,SE,Administrative Assistant,76581,FT,US
2025,EN,Frontend Developer,73166,FT,US
2023,SE,Product Designer,109618,FT,US
2023,MI,Marketing Analyst,80279,FT,US
2023,MI,Software Engineer,121038,FT,US
2024,EN,Backend Developer,85335,FT,US
2025,MI,ETL Developer,82714,FT,US
2025,EN,Product Designer,76212,FT,US
2025,MI,Software Engineer,130099,FT,US
2023,EN,Analytics Engineer,55639,FT,US
2025,SE,Frontend Developer,147964,FT,US
2024,SE,Full-Stack Developer,166557,FT,US
2025,SE,UI/UX Designer,121185,FT,US
2023,EN,Analytics Engineer,73456,FT,US
2024,EN,Business Analyst,60501,FT,US
2023,SE,HR Analyst,98507,FT,US
2023,EN,UI/UX Designer,61435,FT,US
2025,SE,Data Analyst,93940,FT,US
2025,SE,Full-Stack Developer,133070,FT,US
2024,MI,Software Engineer,106665,FT,US
2024,MI,Marketing Analyst,63103,FT,US
2023,EN,Sales Analyst,50440,FT,US
2025,MI,Backend Developer,124411,FT,US
2023,EN,Product Designer,65130,FT,US
2023,SE,Business Analyst,133409,FT,US
2025,SE,Analytics Engineer,134473,FT,US
2023,MI,UI/UX Designer,91643,FT,US
2025,MI,Analytics Engineer,102438,FT,US
2025,MI,Data Analyst,77529,FT,US
2024,MI,Administrative Assistant,59008,FT,US
2024,EN,Software Engineer,71938,FT,US
2024,MI,Frontend Developer,89427,FT,US
2024,EX,UI/UX Designer,203062,FT,US
2023,MI,Product Designer,88732,FT,US
2023,EN,ETL Developer,73355,FT,US
2025,SE,Business Analyst,122112,FT,US
2025,EN,Data Engineer,88601,FT,US
2024,EN,Full-Stack Developer,67515,FT,US
2025,MI,Data Analyst,89558,FT,US
2025,SE,Product Designer,127187,FT,US
2023,EN,Data Analyst,43582,FT,US
2023,EX,UI/UX Designer,203771,FT,US
2025,SE,UI/UX Designer,131237,FT,US
2023,EN,Product Designer,56801,FT,US
2023,MI,Full-Stack Developer,89145,FT,US
2025,MI,Sales Analyst,64142,FT,US
2024,MI,Data Engineer,124580,FT,US
2024,SE,Software Engineer,182827,FT,US
2025,EN,Product Designer,52261,FT,US
2025,MI,UI/UX Designer,91938,FT,US
2024,EN,Marketing Analyst,39485,FT,US
2025,MI,Data Engineer,112411,FT,US
2025,MI,Data Engineer,110615,FT,US
2024,SE,Financial Analyst,128835,FT,US
2023,MI,Product Designer,83103,FT,US
2024,MI,Data Engineer,103286,FT,US
2025,MI,Administrative Assistant,46831,FT,US
2023,EN,ETL Developer,53898,FT,US
2024,SE,Backend Developer,147895,FT,US
2024,MI,UI/UX Designer,79819,FT,US
2024,EN,Business Analyst,55121,FT,US
2023,MI,BI Analyst,82112,FT,US
2024,EN,HR Analyst,45156,FT,US
2023,MI,Analytics Engineer,81965,FT,US
2023,MI,Product Designer,103268,FT,US
2025,EN,Backend Developer,64954,FT,US
2024,MI,BI Analyst,77700,FT,US
2025,EN,Full-Stack Developer,60136,FT,US
2025,SE,Marketing Analyst,111502,FT,US
2024,EN,Analytics Engineer,76267,FT,US
2025,MI,Backend Developer,88404,FT,US
2023,EN,UI/UX Designer,61022,FT,US
2023,EN,Marketing Analyst,49692,FT,US
2024,MI,Product Designer,91042,FT,US
2025,MI,Backend Developer,104142,FT,US
2025,MI,Data Engineer,113807,FT,US
2024,MI,Financial Analyst,73728,FT,US
2024,EN,Data Engineer,76946,FT,US
2023,SE,UI/UX Designer,95558,FT,US
2024,MI,Business Analyst,79609,FT,US
2025,EN,Administrative Assistant,39282,FT,US
2023,EN,HR Analyst,45946,FT,US
2025,EX,Frontend Developer,220142,FT,US
2024,EN,Frontend Developer,79136,FT,US
2025,SE,Business Analyst,131236,FT,US
2023,MI,Administrative Assistant,45599,FT,US
2023,EX,Business Analyst,173500,FT,US
2024,MI,Product Designer,99626,FT,US
2023,MI,Business Analyst,68939,FT,US
2024,MI,Administrative Assistant,47384,FT,US
2023,EN,UI/UX Designer,71161,FT,US
2023,SE,Sales Analyst,85856,FT,US
2024,SE,HR Analyst,94481,FT,US
2024,MI,Backend Developer,123040,FT,US
2025,MI,Software Engineer,129049,FT,US
2023,EN,HR Analyst,43301,FT,US
2023,SE,Sales Analyst,77991,FT,US
2024,SE,Sales Analyst,104739,FT,US
2025,EN,Backend Developer,82748,FT,US
2023,MI,BI Analyst,77369,FT,US
2025,MI,Financial Analyst,87877,FT,US
2024,MI,Sales Analyst,66984,FT,US
2023,SE,Data Analyst,105114,FT,US
2024,SE,Product Designer,122818,FT,US
2024,EN,Sales Analyst,48415,FT,US
2024,MI,Business Analyst,87377,FT,US
2024,SE,Analytics Engineer,132756,FT,US
2023,MI,Marketing Analyst,83935,FT,US
2023,SE,Data Analyst,116700,FT,US
2025,MI,Frontend Developer,104973,FT,US
2025,MI,Financial Analyst,88023,FT,US
2025,SE,Analytics Engineer,113182,FT,US
2023,EN,Sales Analyst,42444,FT,US
2024,EN,Data Engineer,80032,FT,US
2024,MI,Administrative Assistant,56535,FT,US
2025,MI,Financial Analyst,69493,FT,US
2024,MI,Analytics Engineer,99368,FT,US
2023,EN,Full-Stack Developer,58822,FT,US
2023,SE,Analytics Engineer,137945,FT,US
2025,SE,UI/UX Designer,102460,FT,US
2023,MI,HR Analyst,71147,FT,US
2023,MI,Administrative Assistant,42264,FT,US
2023,EN,BI Analyst,65148,FT,US
2023,MI,Sales Analyst,64717,FT,US
2024,EN,HR Analyst,50737,FT,US
2024,EN,HR Analyst,43943,FT,US
2025,SE,Administrative Assistant,69039,FT,US
2025,SE,Data Engineer,159363,FT,US
2023,SE,Software Engineer,138490,FT,US
2023,EN,Marketing Analyst,39864,FT,US
2024,SE,Product Designer,117341,FT,US
2023,EN,Product Designer,76277,FT,US
2023,MI,Sales Analyst,70594,FT,US
2025,EN,Product Designer,63680,FT,US
2024,SE,Data Analyst,103038,FT,US
2025,MI,Product Designer,94194,FT,US
2025,EN,Frontend Developer,76123,FT,US
2024,MI,Backend Developer,95371,FT,US
2024,MI,Data Engineer,89116,FT,US
2025,SE,Marketing Analyst,79462,FT,US
2023,EN,Backend Developer,78553,FT,US
2025,EN,Sales Analyst,53310,FT,US
2025,MI,Data Analyst,81624,FT,US
2023,MI,BI Analyst,92064,FT,US
2025,MI,BI Analyst,94999,FT,US
2025,EN,Financial Analyst,48220,FT,US
2024,EN,ETL Developer,65092,FT,US
2025,SE,Data Engineer,161685,FT,US
2025,SE,Financial Analyst,103218,FT,US
2024,SE,Software Engineer,144463,FT,US
2024,MI,HR Analyst,59656,FT,US
2025,EN,Software Engineer,88348,FT,US
2024,MI,BI Analyst,71573,FT,US
2023,MI,Product Designer,93532,FT,US
2024,EN,Marketing Analyst,51843,FT,US
2024,EN,Frontend Developer,77155,FT,US
2023,EN,UI/UX Designer,69360,FT,US
2023,MI,Financial Analyst,70950,FT,US
2025,SE,UI/UX Designer,134695,FT,US
2025,EN,Financial Analyst,49438,FT,US
2023,SE,Business Analyst,100832,FT,US
2023,MI,Marketing Analyst,79466,FT,US
2025,EN,BI Analyst,49737,FT,US
2024,EN,Data Analyst,54666,FT,US
2023,MI,Administrative Assistant,47113,FT,US
2025,MI,Marketing Analyst,82580,FT,US
2023,EX,Analytics Engineer,162260,FT,US
2025,MI,Frontend Developer,82156,FT,US
2024,MI,Product Designer,95563,FT,US
2023,SE,HR Analyst,76680,FT,US
2025,SE,Sales Analyst,95028,FT,US
2025,MI,Sales Analyst,61102,FT,US
2024,EN,UI/UX Designer,70631,FT,US
2025,EN,Data Engineer,71289,FT,US
2025,EN,Product Designer,75998,FT,US
2025,EN,Product Designer,65479,FT,US
2023,MI,Sales Analyst,75045,FT,US
2023,SE,ETL Developer,113383,FT,US
2023,EN,Software Engineer,92020,FT,US
2023,EN,Analytics Engineer,68847,FT,US
2023,EN,Marketing Analyst,52869,FT,US
2023,EN,ETL Developer,61028,FT,US
2025,MI,Marketing Analyst,70628,FT,US
2023,SE,Product Designer,121829,FT,US
2024,SE,Data Engineer,155864,FT,US
2023,MI,Software Engineer,123374,FT,US
2024,MI,Full-Stack Developer,115439,FT,US
2024,EN,Software Engineer,62351,FT,US
2023,EN,Data Engineer,88540,FT,US
2023,EN,Backend Developer,59078,FT,US
2023,MI,Product Designer,91259,FT,US
2024,SE,ETL Developer,150397,FT,US
2023,MI,Marketing Analyst,76503,FT,US
2024,MI,Backend Developer,96474,FT,US
2023,SE,Frontend Developer,137740,FT,US
2023,EN,BI Analyst,48433,FT,US
2023,EN,Frontend Developer,78468,FT,US
2025,EN,UI/UX Designer,57538,FT,US
2024,MI,BI Analyst,95242,FT,US
2023,EX,Marketing Analyst,124973,FT,US
2023,EN,Full-Stack Developer,57314,FT,US
2024,EN,HR Analyst,50588,FT,US
2023,EN,UI/UX Designer,70664,FT,US
2023,SE,HR Analyst,109014,FT,US
2023,MI,Financial Analyst,77725,FT,US
2023,SE,Backend Developer,130797,FT,US
2023,EN,Analytics Engineer,77004,FT,US
2025,MI,Data Engineer,105211,FT,US
2024,EN,HR Analyst,51909,FT,US
2025,MI,HR Analyst,76221,FT,US
2025,MI,Data Engineer,104398,FT,US
2023,EN,UI/UX Designer,60275,FT,US
2023,SE,ETL Developer,104636,FT,US
2025,SE,Sales Analyst,95812,FT,US
2025,MI,Backend Developer,112476,FT,US
2025,MI,Full-Stack Developer,115145,FT,US
2025,SE,ETL Developer,143669,FT,US
2023,SE,ETL Developer,142985,FT,US
2025,EN,Financial Analyst,58945,FT,US
2025,SE,UI/UX Designer,136699,FT,US
2024,EN,Financial Analyst,50998,FT,US
2024,EN,Marketing Analyst,55232,FT,US
2023,MI,Full-Stack Developer,80255,FT,US
2025,MI,BI Analyst,83962,FT,US
2025,MI,Data Engineer,111759,FT,US
2024,EN,ETL Developer,69577,FT,US
2025,EX,HR Analyst,121777,FT,US
2024,EN,UI/UX Designer,69906,FT,US
2024,MI,Frontend Developer,102910,FT,US
2024,MI,Product Designer,86328,FT,US
2025,EX,BI Analyst,194758,FT,US
2023,MI,Backend Developer,100111,FT,US
2025,SE,Administrative Assistant,66411,FT,US
2024,SE,Administrative Assistant,68485,FT,US
2023,EX,Data Engineer,213503,FT,US
2023,EN,HR Analyst,50865,FT,US
2024,EN,Administrative Assistant,29153,FT,US
2023,MI,Administrative Assistant,59017,FT,US
2024,MI,Analytics Engineer,100263,FT,US
2024,EX,UI/UX Designer,163834,FT,US
2023,SE,Analytics Engineer,117059,FT,US
2025,MI,Software Engineer,108747,FT,US
2023,EN,Sales Analyst,41958,FT,US
2025,SE,Sales Analyst,108329,FT,US
2024,SE,Backend Developer,134897,FT,US
2024,EN,Backend Developer,72385,FT,US
2023,MI,BI Analyst,85519,FT,US
2024,EN,Business Analyst,48402,FT,US
2023,SE,Data Engineer,142318,FT,US
2024,EN,Product Designer,53386,FT,US
2025,EX,BI Analyst,178555,FT,US
2023,SE,Full-Stack Developer,165348,FT,US
2023,SE,Sales Analyst,104688,FT,US
2025,EN,Product Designer,66226,FT,US
2023,MI,ETL Developer,79572,FT,US
2023,SE,Financial Analyst,128473,FT,US
2024,MI,Data Engineer,126831,FT,US
2025,SE,Data Analyst,99027,FT,US
2024,EX,Data Engineer,193675,FT,US
2023,EN,Analytics Engineer,57655,FT,US
2024,MI,Sales Analyst,73616,FT,US
2023,SE,HR Analyst,74691,FT,US
2024,SE,Software Engineer,167187,FT,US
2024,SE,Analytics Engineer,110662,FT,US
2024,EN,Backend Developer,63621,FT,US
2023,SE,Administrative Assistant,72611,FT,US
2024,MI,Full-Stack Developer,93160,FT,US
2023,SE,Frontend Developer,152781,FT,US
2024,MI,Software Engineer,119644,FT,US
2025,EX,UI/UX Designer,202285,FT,US
2024,MI,Financial Analyst,69281,FT,US
2024,MI,Analytics Engineer,93579,FT,US
2024,MI,UI/UX Designer,80615,FT,US
2024,MI,Product Designer,95240,FT,US
2024,MI,Data Engineer,126430,FT,US
2025,MI,Frontend Developer,86519,FT,US
2023,MI,Software Engineer,108495,FT,US
2024,EN,Analytics Engineer,73841,FT,US
2025,EN,Financial Analyst,64895,FT,US
2024,SE,UI/UX Designer,118632,FT,US
2024,MI,Analytics Engineer,98017,FT,US
2023,EN,Marketing Analyst,46865,FT,US
2023,SE,Data Engineer,123756,FT,US
2025,MI,Sales Analyst,65189,FT,US
2024,EN,Analytics Engineer,76706,FT,US
2024,MI,BI Analyst,80319,FT,US
2025,MI,HR Analyst,58466,FT,US
2023,SE,Software Engineer,133489,FT,US
2023,SE,Administrative Assistant,74586,FT,US
2025,SE,Product Designer,144548,FT,US
2024,MI,Analytics Engineer,96516,FT,US
2024,EN,BI Analyst,58115,FT,US
2023,EN,Data Analyst,51496,FT,US
2024,EN,UI/UX Designer,61515,FT,US
2023,EN,Administrative Assistant,32523,FT,US
2024,MI,Marketing Analyst,70436,FT,US
2024,MI,Software Engineer,93532,FT,US
2025,EN,Full-Stack Developer,82314,FT,US
2023,EX,Sales Analyst,113908,FT,US
2024,SE,Business Analyst,97536,FT,US
2024,SE,Data Analyst,123673,FT,US
2023,SE,Product Designer,147584,FT,US
2023,EN,Software Engineer,86101,FT,US
2023,EN,Data Analyst,55836,FT,US
2024,SE,ETL Developer,106172,FT,US
2023,MI,Business Analyst,91726,FT,US
2025,SE,ETL Developer,105360,FT,US
2024,EN,HR Analyst,48239,FT,US
2024,SE,BI Analyst,111960,FT,US
2025,SE,Full-Stack Developer,136392,FT,US
2023,EN,Data Analyst,53434,FT,US
2025,MI,Analytics Engineer,99173,FT,US
2024,EN,Data Analyst,49838,FT,US
2024,MI,Administrative Assistant,53364,FT,US
2024,MI,Data Engineer,104710,FT,US
2023,MI,Sales Analyst,67433,FT,US
2025,EN,Software Engineer,77820,FT,US
2025,MI,Software Engineer,105352,FT,US
2025,SE,Business Analyst,121653,FT,US
2025,SE,Full-Stack Developer,136128,FT,US
2025,EN,Analytics Engineer,77859,FT,US
2024,SE,Frontend Developer,125106,FT,US
2024,MI,BI Analyst,74022,FT,US
2024,MI,Analytics Engineer,98075,FT,US
2023,SE,Frontend Developer,127674,FT,US
2025,SE,Frontend Developer,134195,FT,US
2025,EN,Software Engineer,77775,FT,US
2024,MI,Product Designer,83041,FT,US
2023,SE,Marketing Analyst,93041,FT,US
2024,EN,Financial Analyst,43736,FT,US
2024,SE,HR Analyst,96336,FT,US
2024,SE,Financial Analyst,102797,FT,US
2025,MI,UI/UX Designer,92886,FT,US
2024,SE,Financial Analyst,120847,FT,US
2023,MI,Data Analyst,64589,FT,US
2023,SE,Backend Developer,145406,FT,US
2025,EN,Product Designer,59564,FT,US
2024,MI,Marketing Analyst,62494,FT,US
2024,MI,Full-Stack Developer,99870,FT,US
2024,MI,Backend Developer,112385,FT,US
2024,SE,Marketing Analyst,79020,FT,US
2025,SE,Frontend Developer,137170,FT,US
2023,EN,Full-Stack Developer,58398,FT,US
2025,EN,Frontend Developer,61801,FT,US
2023,MI,Business Analyst,66221,FT,US
2023,SE,Data Engineer,127507,FT,US
2024,SE,Sales Analyst,100945,FT,US
2024,MI,Software Engineer,102652,FT,US
2023,EX,Data Engineer,234241,FT,US
2024,SE,Backend Developer,144954,FT,US
2023,EN,Software Engineer,91219,FT,US
2024,EN,Analytics Engineer,67453,FT,US
2025,EN,ETL Developer,57981,FT,US
2025,MI,ETL Developer,76313,FT,US
2023,EN,Sales Analyst,52115,FT,US
2023,MI,Business Analyst,89212,FT,US
2023,MI,ETL Developer,77734,FT,US
2023,EN,BI Analyst,51140,FT,US
2023,MI,Data Engineer,103238,FT,US
2024,MI,HR Analyst,73457,FT,US
2024,SE,Frontend Developer,115005,FT,US
2024,MI,Administrative Assistant,51331,FT,US
2024,SE,Software Engineer,130368,FT,US
2024,MI,Full-Stack Developer,115118,FT,US
2024,SE,BI Analyst,128118,FT,US
2025,MI,HR Analyst,52595,FT,US
2024,EN,Data Engineer,91085,FT,US
2024,SE,Financial Analyst,93148,FT,US
2024,SE,Data Analyst,104456,FT,US
2025,SE,ETL Developer,109611,FT,US
2023,MI,Backend Developer,90147,FT,US
2023,EN,Data Engineer,62395,FT,US
2023,EX,Analytics Engineer,193764,FT,US
2025,SE,BI Analyst,104594,FT,US
2024,EN,Business Analyst,45196,FT,US
2024,SE,UI/UX Designer,117086,FT,US
2025,SE,Administrative Assistant,73345,FT,US
2023,MI,HR Analyst,56437,FT,US
2025,SE,HR Analyst,82460,FT,US
2025,SE,ETL Developer,131949,FT,US
2023,SE,Sales Analyst,99587,FT,US
2025,MI,Frontend Developer,92191,FT,US
2023,SE,UI/UX Designer,116609,FT,US
2024,MI,Backend Developer,101393,FT,US
2024,SE,Marketing Analyst,108556,FT,US
2024,EN,Data Engineer,74492,FT,US
2025,MI,Analytics Engineer,101877,FT,US
2024,EN,UI/UX Designer,47888,FT,US
2023,EX,Full-Stack Developer,224122,FT,US
2025,MI,Frontend Developer,86102,FT,US
2024,SE,Frontend Developer,119353,FT,US
2023,SE,Sales Analyst,99544,FT,US
2023,MI,Business Analyst,94599,FT,US
2023,EN,HR Analyst,48388,FT,US
2023,SE,Data Analyst,87209,FT,US
2023,SE,Financial Analyst,98413,FT,US
2024,MI,Administrative Assistant,47726,FT,US
2025,EN,Sales Analyst,55014,FT,US
2023,EN,Full-Stack Developer,76648,FT,US
2025,EN,UI/UX Designer,48504,FT,US
2025,SE,Administrative Assistant,78459,FT,US
2024,EX,Product Designer,201480,FT,US
2025,EX,BI Analyst,194881,FT,US
2024,SE,Marketing Analyst,92309,FT,US
2024,MI,UI/UX Designer,96238,FT,US
2023,EN,Business Analyst,56328,FT,US
2024,SE,Sales Analyst,99947,FT,US
2024,EN,Analytics Engineer,56428,FT,US
2024,SE,Frontend Developer,140655,FT,US
2024,SE,Financial Analyst,100150,FT,US
2024,MI,Full-Stack Developer,109922,FT,US
2024,EN,Administrative Assistant,29551,FT,US
2024,MI,HR Analyst,63233,FT,US
2023,EN,Software Engineer,88917,FT,US
2025,SE,Backend Developer,136235,FT,US
2023,MI,Product Designer,93619,FT,US
2024,EN,Full-Stack Developer,83395,FT,US
2025,MI,Sales Analyst,59312,FT,US
2023,MI,Administrative Assistant,50791,FT,US
2025,EN,Data Engineer,83960,FT,US
2023,MI,Analytics Engineer,107946,FT,US
2025,SE,Administrative Assistant,76815,FT,US
2023,MI,Marketing Analyst,80559,FT,US
2023,EN,Analytics Engineer,68043,FT,US
2025,SE,Software Engineer,184295,FT,US
2023,SE,Financial Analyst,100941,FT,US
2023,MI,BI Analyst,71767,FT,US
2024,SE,ETL Developer,128733,FT,US
2023,SE,Financial Analyst,88902,FT,US
2023,EN,BI Analyst,67917,FT,US
2024,SE,Administrative Assistant,79575,FT,US
2024,EN,UI/UX Designer,56771,FT,US
2024,EN,Backend Developer,78293,FT,US
2024,EN,Sales Analyst,38633,FT,US
2023,EN,Frontend Developer,63512,FT,US
2023,MI,Marketing Analyst,73985,FT,US
2024,EN,ETL Developer,68114,FT,US
2025,MI,Data Engineer,114494,FT,US
2023,MI,Product Designer,79083,FT,US
2025,SE,Software Engineer,166793,FT,US
2024,MI,Frontend Developer,92727,FT,US
2023,MI,Product Designer,76860,FT,US
2023,EX,Analytics Engineer,222916,FT,US
2025,MI,Data Analyst,79085,FT,US
2025,MI,Analytics Engineer,107912,FT,US
2023,MI,Marketing Analyst,72457,FT,US
2023,MI,Financial Analyst,63217,FT,US
2025,SE,Full-Stack Developer,164058,FT,US
2023,SE,Financial Analyst,97211,FT,US
2023,MI,UI/UX Designer,82796,FT,US
2025,EN,Frontend Developer,55344,FT,US
2023,MI,Marketing Analyst,68231,FT,US
2023,SE,Frontend Developer,114853,FT,US
2024,EN,Frontend Developer,60721,FT,US
2024,EN,Marketing Analyst,56962,FT,US
2023,MI,ETL Developer,87439,FT,US
2025,MI,Full-Stack Developer,86255,FT,US
2023,EN,Administrative Assistant,35453,FT,US
2025,EN,Marketing Analyst,43840,FT,US
2024,SE,Analytics Engineer,127331,FT,US
2023,SE,Software Engineer,161664,FT,US
2023,SE,UI/UX Designer,104629,FT,US
2024,MI,Software Engineer,93020,FT,US
2024,MI,Frontend Developer,79375,FT,US
2024,MI,Data Analyst,63443,FT,US
2023,EN,Administrative Assistant,37909,FT,US
2023,EN,Data Engineer,75715,FT,US
2023,EN,Financial Analyst,64334,FT,US
2025,EN,Data Engineer,88149,FT,US
2024,MI,Marketing Analyst,57743,FT,US
2023,EX,Financial Analyst,174344,FT,US
2024,SE,Marketing Analyst,99758,FT,US
2024,EN,Analytics Engineer,76550,FT,US
2024,EN,BI Analyst,56280,FT,US
2024,EN,Product Designer,53199,FT,US
2025,SE,Backend Developer,149275,FT,US
2025,MI,Business Analyst,78454,FT,US
2024,SE,Administrative Assistant,83005,FT,US
2023,MI,Sales Analyst,75965,FT,US
2024,SE,Sales Analyst,91238,FT,US
2024,MI,Sales Analyst,66574,FT,US
2023,EN,Software Engineer,80494,FT,US
2024,SE,Backend Developer,127528,FT,US
2023,MI,Data Analyst,61001,FT,US
2024,EN,ETL Developer,61496,FT,US
2025,EN,BI Analyst,66180,FT,US
2023,MI,BI Analyst,98020,FT,US
2024,MI,Full-Stack Developer,119883,FT,US
2023,MI,UI/UX Designer,85931,FT,US
2025,EN,Data Engineer,73274,FT,US
2025,SE,HR Analyst,92484,FT,US
2023,EX,Software Engineer,255314,FT,US
2024,SE,Data Engineer,177397,FT,US
2024,SE,ETL Developer,142429,FT,US
2023,EN,Data Analyst,44981,FT,US
2025,EN,Analytics Engineer,69526,FT,US
2025,MI,ETL Developer,98570,FT,US
2023,MI,Analytics Engineer,77182,FT,US
2025,EN,ETL Developer,58335,FT,US
2023,EN,Marketing Analyst,52043,FT,US
2025,EN,Sales Analyst,39547,FT,US
2025,SE,Frontend Developer,117866,FT,US
2024,SE,Backend Developer,141608,FT,US
2025,SE,Frontend Developer,147154,FT,US
2024,SE,Full-Stack Developer,148443,FT,US
2023,MI,Data Engineer,108255,FT,US
2025,EN,Sales Analyst,45938,FT,US
2024,MI,BI Analyst,66190,FT,US
2025,MI,Business Analyst,91466,FT,US
2023,SE,BI Analyst,126461,FT,US
2025,EX,Full-Stack Developer,218133,FT,US
2023,MI,Analytics Engineer,84300,FT,US
2023,EN,Frontend Developer,59634,FT,US
2025,MI,BI Analyst,75349,FT,US
2024,SE,BI Analyst,94050,FT,US
2025,MI,HR Analyst,60850,FT,US
2024,EN,ETL Developer,70423,FT,US
2024,MI,Software Engineer,131799,FT,US
2023,MI,UI/UX Designer,75487,FT,US
2023,SE,HR Analyst,97158,FT,US
2023,SE,Data Engineer,158421,FT,US
2024,EN,Analytics Engineer,77423,FT,US
2023,EN,Analytics Engineer,62265,FT,US
2023,SE,Sales Analyst,93114,FT,US
2024,SE,Frontend Developer,113406,FT,US
2024,MI,Software Engineer,116697,FT,US
2025,MI,Data Engineer,131288,FT,US
2023,EN,Business Analyst,50498,FT,US
2025,MI,Software Engineer,127924,FT,US
2023,EX,Financial Analyst,145476,FT,US
2023,EN,Backend Developer,76756,FT,US
2024,MI,Product Designer,73802,FT,US
2023,EN,Product Designer,52465,FT,US
2024,SE,Marketing Analyst,100824,FT,US
2023,MI,Financial Analyst,91470,FT,US
2023,MI,UI/UX Designer,95819,FT,US
2025,MI,Marketing Analyst,56830,FT,US
